filename,st_name,speaker,age,gender,text,arg0,arg1,metaphor_score
AL2022.txt,Alabama,Ivey_Kay,78,1,"Folks, no doubt, the last couple of years have been especially trying for our medical professionals.",couple,try,.53115857
AL2022.txt,Alabama,Ivey_Kay,78,1,That means being proficient readers by the end of third grade.,third,grade,.55185729
AL2022.txt,Alabama,Ivey_Kay,78,1,Money isn’t going to fix our problems in education.,money,go,.58211279
AL2022.txt,Alabama,Ivey_Kay,78,1,"When our federal government overreached, we found a way to fight back.",government,overreach,.32081917
AL2022.txt,Alabama,Ivey_Kay,78,1,"It is projected that Alabama saw investments totaling $5.4 billion with some 9,000 new jobs created.",see,investment,.58702743
AL2022.txt,Alabama,Ivey_Kay,78,1,"Thanks to Rebuild Alabama, we are also making improvements to Alabama’s Deepwater Port in Mobile.",make,improvement,.67624313
AL2022.txt,Alabama,Ivey_Kay,78,1,"This evening, I renew my commitment to you that we will not only continue tackling old problems.",tackle,problem,.62327194
AL2022.txt,Alabama,Ivey_Kay,78,1,"I’ll call this nonsense what it is, and that is an un-American, outrageous breach of our federal law.",outrageous,breach,.5085966
AL2022.txt,Alabama,Ivey_Kay,78,1,I’ll say again that these federal dollars are just one-time funds.,federal,dollar,.47200185
AL2022.txt,Alabama,Ivey_Kay,78,1,"While there are global strains, our automakers – supported by Alabama’s hardworking, non-union workforce – are hitting major milestones.",union,workforce,.37722939
AL2022.txt,Alabama,Ivey_Kay,78,1,"It is projected that Alabama saw investments totaling $5.4 billion with some 9,000 new jobs created.",new,job,.47139215
AL2022.txt,Alabama,Ivey_Kay,78,1,We will make robust investments that will pay long-term dividends to the state.,make,investment,.61067212
AL2022.txt,Alabama,Ivey_Kay,78,1,"We should pledge, together, that we will no longer accept the existence of a failing elementary school in our state.",accept,existence,.58968025
AL2022.txt,Alabama,Ivey_Kay,78,1,"Here in Sweet Home Alabama, we are landing massive investments like Smucker’s $1.1 billion move to McCalla.",land,investment,.43634969
AL2022.txt,Alabama,Ivey_Kay,78,1,"So often, we hear people – who have likely not even stepped foot in Alabama – give their two cents on us.",give,cent,.52333713
AL2022.txt,Alabama,Ivey_Kay,78,1,"We should pledge, together, that we will no longer accept the existence of a failing elementary school in our state.",elementary,school,.41265735
AL2022.txt,Alabama,Ivey_Kay,78,1,"With the current global supply issues, having an international resource in the Port of Mobile is ever more critical.",current,issue,.51727957
AL2022.txt,Alabama,Ivey_Kay,78,1,I am certain this critical step will make a significant difference for decades to come.,critical,step,.63998097
AL2022.txt,Alabama,Ivey_Kay,78,1,We are expanding funding to math and science teachers.,expand,funding,.48858872
AL2022.txt,Alabama,Ivey_Kay,78,1,I am certain this critical step will make a significant difference for decades to come.,step,make,.54953212
AL2022.txt,Alabama,Ivey_Kay,78,1,"Last year, Senator Shelby announced he would not seek reelection.",last,year,.50250727
AL2022.txt,Alabama,Ivey_Kay,78,1,We must ask ourselves what more can be done to protect these brave men and women.,protect,man,.30336836
AL2022.txt,Alabama,Ivey_Kay,78,1,"No doubt, the covid-19 pandemic shined a light on our country’s education system in many ways.",shine,light,.14023259
AL2022.txt,Alabama,Ivey_Kay,78,1,"It is projected that Alabama saw investments totaling $5.4 billion with some 9,000 new jobs created.",alabama,see,.50149107
AL2022.txt,Alabama,Ivey_Kay,78,1,Let me be crystal clear: it is more critical than ever that every Alabama student is receiving in-person learning.,receive,learning,.44941419
AL2022.txt,Alabama,Ivey_Kay,78,1,We must ask ourselves what more can be done to protect these brave men and women.,brave,man,.28259939
AL2022.txt,Alabama,Ivey_Kay,78,1,That begins with making sure that every elementary school in Alabama is a successful school.,successful,school,.50481313
