filename,st_name,speaker,age,gender,text,arg0,arg1,metaphor_score
ME2022.txt,Maine,Mills_Janet,74,1,But we also need to do more.,do,more,.47821423
ME2022.txt,Maine,Mills_Janet,74,1,"That is my mission, and I ask you all to join me.",ask,you,.49025932
ME2022.txt,Maine,Mills_Janet,74,1,"No longer will we underfund education in the State of Maine, as past administrations have done.",underfund,education,.5248996
ME2022.txt,Maine,Mills_Janet,74,1,But we’ve also got to do more to help people get ready for work and careers to begin with.,people,get,.37261495
ME2022.txt,Maine,Mills_Janet,74,1,"Pre-K promotes child development, improves early literacy, math, and social- emotional skills, and bolsters student success.",improve,literacy,.52563053
ME2022.txt,Maine,Mills_Janet,74,1,"We focus on preserving the most vital facets of our lives: our schools, our hospitals, our jobs.",preserve,facet,.4494634
ME2022.txt,Maine,Mills_Janet,74,1,The pandemic didn’t help our workforce by any means.,pandemic,help,.38970792
ME2022.txt,Maine,Mills_Janet,74,1,Headlines like: “Here are the jobs Maine employers struggle to fill.,employer,struggle,.56500858
ME2022.txt,Maine,Mills_Janet,74,1,"Thank you, Commissioner Beal, and your staff, for being such good stewards of our public parks and campgrounds.",such,steward,.37777561
ME2022.txt,Maine,Mills_Janet,74,1,"But kids can also learn while doing, and they can learn outside the walls of a classroom.",kid,learn,.38268992
ME2022.txt,Maine,Mills_Janet,74,1,It is far past time to ensure that Maine people can live safely and with dignity as they age.,people,live,.36631081
ME2022.txt,Maine,Mills_Janet,74,1,"And if you are someone who’s already started a two-year program, we’ve got your back too.",who,start,.46928024
ME2022.txt,Maine,Mills_Janet,74,1,"Only about 6,000 people are actually receiving unemployment benefits, a number comparable to the number before the pandemic.",comparable,number,.41128469
ME2022.txt,Maine,Mills_Janet,74,1,We will cover the last dollar of your second year.,cover,dollar,.50344664
ME2022.txt,Maine,Mills_Janet,74,1,"We don’t welcome tough times, but we’re not afraid of them either.",tough,time,.72998893
ME2022.txt,Maine,Mills_Janet,74,1,"Some have even more, like the nurse who told a radio station that she owes more than $100,000.",tell,station,.48977709
ME2022.txt,Maine,Mills_Janet,74,1,We will cover the last dollar of your second year.,second,year,.62336755
ME2022.txt,Maine,Mills_Janet,74,1,"Another thing keeping too many people from working, especially in rural areas of Maine, is the lack of affordable broadband.",many,people,.40081227
ME2022.txt,Maine,Mills_Janet,74,1,The system of care for people as they grow older in Maine is inadequate.,they,grow,.66448265
ME2022.txt,Maine,Mills_Janet,74,1,"[Jeanne, Pender, Kirsten, Mike, Judy, Pat, John, Amanda, Melanie, Heather, Doug, Randy, Laura, Bruce, Anne – You have my undying respect.",undying,respect,.67078096
ME2022.txt,Maine,Mills_Janet,74,1,One is an adult with special needs.,special,need,.50447983
ME2022.txt,Maine,Mills_Janet,74,1,I propose that we send half of this surplus – $411 million – back to the people of Maine.,send,half,.60278279
ME2022.txt,Maine,Mills_Janet,74,1,"Maine’s economy, like that of the rest of the nation, is making a comeback.",economy,make,.62376595
ME2022.txt,Maine,Mills_Janet,74,1,“Some Farmington area stores struggle to get employees.,get,employee,.4506886
ME2022.txt,Maine,Mills_Janet,74,1,Let me repeat that: half a billion dollars – the highest it has ever been.,repeat,dollar,.62350661
ME2022.txt,Maine,Mills_Janet,74,1,Tonight is the first time in two years we have been together in this chamber.,first,time,.55312014
ME2022.txt,Maine,Mills_Janet,74,1,And God bless the State of Maine.,bless,state,.65155286
ME2022.txt,Maine,Mills_Janet,74,1,"Maine people work hard their entire lives, and they deserve no less.",entire,life,.68190104
ME2022.txt,Maine,Mills_Janet,74,1,And we have succeeded better than nearly every other state.,other,state,.53918028
ME2022.txt,Maine,Mills_Janet,74,1,"High speed internet is no longer a luxury; it is a basic necessity, as fundamental as electricity, heat and water.",fundamental,necessity,.60989642
ME2022.txt,Maine,Mills_Janet,74,1,"Maine people work hard their entire lives, and they deserve no less.",they,deserve,.44156304
ME2022.txt,Maine,Mills_Janet,74,1,They are sitting in the gallery tonight.,they,sit,.44622028
ME2022.txt,Maine,Mills_Janet,74,1,"Some have even more, like the nurse who told a radio station that she owes more than $100,000.",who,tell,.40316617
ME2022.txt,Maine,Mills_Janet,74,1,"Maine people work hard their entire lives, and they deserve no less.",people,work,.42084798
ME2022.txt,Maine,Mills_Janet,74,1,And God bless the State of Maine.,god,bless,.65857083
ME2022.txt,Maine,Mills_Janet,74,1,"I want to show Maine kids the breadth and depth, the experience of our state.",show,breadth,.61020905
ME2022.txt,Maine,Mills_Janet,74,1,Learn forestry at an Outdoor Ed Center in Brewer.,learn,forestry,.48834184
ME2022.txt,Maine,Mills_Janet,74,1,Maine people deserve every ounce of hard-won progress that we have achieved despite the pandemic.,people,deserve,.33122003
ME2022.txt,Maine,Mills_Janet,74,1,"The state of our state is strong, and it is growing stronger.",it,grow,.5234133
ME2022.txt,Maine,Mills_Janet,74,1,"Last year’s emergency measures no longer serve the purposes they once did, nor should they.",last,year,.50250727
ME2022.txt,Maine,Mills_Janet,74,1,"Only about 6,000 people are actually receiving unemployment benefits, a number comparable to the number before the pandemic.",people,receive,.42500892
ME2022.txt,Maine,Mills_Janet,74,1,That’s why we are tackling this issue head on.,tackle,issue,.68358219
ME2022.txt,Maine,Mills_Janet,74,1,But we’ve also got to do more to help people get ready for work and careers to begin with.,do,more,.47821423
ME2022.txt,Maine,Mills_Janet,74,1,"We focus on preserving the most vital facets of our lives: our schools, our hospitals, our jobs.",vital,facet,.57768416
ME2022.txt,Maine,Mills_Janet,74,1,Feed the Tilapia fish that are fertilizing gardens at Herring Gut Learning Center in Port Clyde and SpringWorks in Lisbon.,feed,fish,.2120541
ME2022.txt,Maine,Mills_Janet,74,1,You are all true heroes.,true,hero,.48677829
ME2022.txt,Maine,Mills_Janet,74,1,"This week, we celebrate the University of Maine’s achievement of R1 status as a leading research university.",celebrate,university,.58581364
ME2022.txt,Maine,Mills_Janet,74,1,I am also proud of the progress we have achieved in Kindergarten through twelfth grade.,twelfth,grade,.53065097
ME2022.txt,Maine,Mills_Janet,74,1,"As we continue to rebuild our economy, we know what the largest impediment is to sustained growth.",large,impediment,.69817209
ME2022.txt,Maine,Mills_Janet,74,1,Speaker Fecteau has proposed legislation to provide pay increases for child care workers.,propose,legislation,.35824981
ME2022.txt,Maine,Mills_Janet,74,1,We have been through some difficult and dangerous times together these last twenty- three months.,last,month,.47119778
ME2022.txt,Maine,Mills_Janet,74,1,It’s the same issue that has garnered headlines for the past decade: Maine’s workforce shortage.,past,decade,.59750915
ME2022.txt,Maine,Mills_Janet,74,1,Explore Burnt Island and Hurricane Island and learn how OceansWide is retrieving ghost gear from the ocean bottom.,retrieve,gear,.27172914
ME2022.txt,Maine,Mills_Janet,74,1,Experiential learning will help kids reconnect while enjoying all that Maine has to offer.,learning,help,.55095708
ME2022.txt,Maine,Mills_Janet,74,1,Our goal has been to save lives.,save,life,.6886763
ME2022.txt,Maine,Mills_Janet,74,1,It’s the same issue that has garnered headlines for the past decade: Maine’s workforce shortage.,same,issue,.40779757
ME2022.txt,Maine,Mills_Janet,74,1,"Maine people work hard their entire lives, and they deserve no less.",work,life,.5830031
ME2022.txt,Maine,Mills_Janet,74,1,"Last year’s emergency measures no longer serve the purposes they once did, nor should they.",they,should,.47490799
ME2022.txt,Maine,Mills_Janet,74,1,"But kids can also learn while doing, and they can learn outside the walls of a classroom.",they,learn,.46606198
ME2022.txt,Maine,Mills_Janet,74,1,Experiential learning will help kids reconnect while enjoying all that Maine has to offer.,enjoy,all,.58153874
ME2022.txt,Maine,Mills_Janet,74,1,Our Rainy Day Fund has more than doubled under my Administration to nearly $500 million.,fund,double,.70869702
ME2022.txt,Maine,Mills_Janet,74,1,"If nothing else, two years of this pandemic have shown us that we are stronger than we ever imagined.",nothing,show,.53061825
ME2022.txt,Maine,Mills_Janet,74,1,"And if you are someone who’s already started a two-year program, we’ve got your back too.",start,program,.51561558
ME2022.txt,Maine,Mills_Janet,74,1,"Another thing keeping too many people from working, especially in rural areas of Maine, is the lack of affordable broadband.",affordable,broadband,.40667489
ME2022.txt,Maine,Mills_Janet,74,1,But what about those who have already graduated and still have student debt?,who,graduate,.53931183
ME2022.txt,Maine,Mills_Janet,74,1,And I’ve got some ideas to tackle that.,tackle,that,.638623
ME2022.txt,Maine,Mills_Janet,74,1,"More than this, Maine people have earned the progress that is yet to come.",people,earn,.45570725
