filename,st_name,speaker,age,gender,text,arg0,arg1,metaphor_score
SC2022.txt,South Carolina,McMaster_Henry,75,0,"Parents must know what their children are hearing, seeing, and learning in the classroom.",parent,know,.41687605
SC2022.txt,South Carolina,McMaster_Henry,75,0,I’d like to share with you an innovative public-private initiative designed to fill those open jobs.,innovative,initiative,.53420043
SC2022.txt,South Carolina,McMaster_Henry,75,0,"Today, we have fully funded full-day, four-year-old kindergarten programs for every Medicaid-eligible child in South Carolina.",eligible,child,.31376049
SC2022.txt,South Carolina,McMaster_Henry,75,0,Thirty-three South Carolinians have received the Medal of Honor since it was created more than 150 years ago.,receive,medal,.42754599
SC2022.txt,South Carolina,McMaster_Henry,75,0,Last month Lilianna and Justin completed the five-week commercial truck driving program at Tri-County Tech.,commercial,truck,.41316903
SC2022.txt,South Carolina,McMaster_Henry,75,0,"To the families and loved ones of these men, with all our hearts, we offer our condolences.",offer,condolence,.29326019
SC2022.txt,South Carolina,McMaster_Henry,75,0,"The coastline contains several ecosystems including marshes, estuaries, barrier islands, tidal creeks, and beaches.",coastline,contain,.32248712
SC2022.txt,South Carolina,McMaster_Henry,75,0,Putting money into this retirement system is like trying to fill a bathtub with the drain open.,put,money,.55640495
SC2022.txt,South Carolina,McMaster_Henry,75,0,We will carry the banner of freedom even if the federal government walks away.,government,walk,.43710446
SC2022.txt,South Carolina,McMaster_Henry,75,0,To upgrade or replace deficient rural water and wastewater systems.,rural,water,.59140289
SC2022.txt,South Carolina,McMaster_Henry,75,0,"My Executive Budget also raises the minimum salary for a starting teacher from $36,000 to $38,000.",budget,raise,.69015342
SC2022.txt,South Carolina,McMaster_Henry,75,0,They enlisted in the Marine Corps after high school.,they,enlist,.59432948
SC2022.txt,South Carolina,McMaster_Henry,75,0,"Welcome Mr. Don Bent, Chief Operating Officer of Oshkosh Defense.",welcome,bent,.57383513
SC2022.txt,South Carolina,McMaster_Henry,75,0,"Before they finished, they were offered a job driving as a team for Schneider National.",offer,job,.31679511
SC2022.txt,South Carolina,McMaster_Henry,75,0,"The State’s 35 barrier islands and the surrounding marshes are natural mechanisms for absorbing energy, flooding, and storm surge.",natural,mechanism,.51091838
SC2022.txt,South Carolina,McMaster_Henry,75,0,The 2020 U. S. Census data shows that South Carolina is the tenth fastest-growing state in the nation.,tenth,state,.54050285
SC2022.txt,South Carolina,McMaster_Henry,75,0,William Westbrook lives in Graniteville and had worked for many years at a local chemical company.,local,company,.52576131
SC2022.txt,South Carolina,McMaster_Henry,75,0,"They even canceled South Carolina’s requirement that Medicaid recipients must work, volunteer, or attend school to receive benefits.",attend,school,.40689731
SC2022.txt,South Carolina,McMaster_Henry,75,0,"Welcome Mr. Stein Edwards, Senior Director of Operations for Gallo Winery.",welcome,edwards,.5001086
SC2022.txt,South Carolina,McMaster_Henry,75,0,"South Carolina, just like every state in the nation, is facing a historic labor crisis.",face,crisis,.78697067
SC2022.txt,South Carolina,McMaster_Henry,75,0,"The coastline contains several ecosystems including marshes, estuaries, barrier islands, tidal creeks, and beaches.",several,ecosystem,.43775386
SC2022.txt,South Carolina,McMaster_Henry,75,0,"As you know, he is retiring this year.",he,retire,.50728917
SC2022.txt,South Carolina,McMaster_Henry,75,0,"Employers are creating new jobs, entrepreneurs are opening new businesses, and companies are deciding to relocate here.",create,job,.54951441
SC2022.txt,South Carolina,McMaster_Henry,75,0,"The longer we wait, the harder it will be to fix our pension system’s huge unfunded liability.",unfunded,liability,.3022055
SC2022.txt,South Carolina,McMaster_Henry,75,0,I’d like to share with you an innovative public-private initiative designed to fill those open jobs.,share,initiative,.38008818
SC2022.txt,South Carolina,McMaster_Henry,75,0,"Mr. Newsome, please stand and be recognized.",newsome,stand,.46577784
SC2022.txt,South Carolina,McMaster_Henry,75,0,"There are 50 new private, nonprofit, and faith-based providers who have opened 66 new 4K classrooms.",new,classroom,.33682656
SC2022.txt,South Carolina,McMaster_Henry,75,0,The Biden administration also took aim at South Carolina’s pro-life and pro-family policies.,life,policy,.42451495
SC2022.txt,South Carolina,McMaster_Henry,75,0,I would ask all these gentlemen to please stand and be recognized.,ask,gentleman,.3826454
SC2022.txt,South Carolina,McMaster_Henry,75,0,More Americans moved out of Michigan during the pandemic than nearly every other state in our nation.,americans,move,.45947319
SC2022.txt,South Carolina,McMaster_Henry,75,0,"And of course, we must maintain our commitment to retired South Carolinians who rely on income from the pension plan.",maintain,commitment,.79868203
SC2022.txt,South Carolina,McMaster_Henry,75,0,The right to vote is the single most important right protected by the United States Constitution.,important,right,.52423304
SC2022.txt,South Carolina,McMaster_Henry,75,0,Ms. Amy Carter is an English teacher from Chapin High School and is here representing our state’s classroom teachers.,represent,teacher,.4743081
