filename,st_name,speaker,age,gender,text,arg0,arg1,metaphor_score
SD2022.txt,South Dakota,Noem_Kristi,50,1,"She specialized in the 400-meter race, with a lifetime best of forty-nine-point-two-six seconds.",she,specialize,.49341285
SD2022.txt,South Dakota,Noem_Kristi,50,1,My parents instilled that in me from a very young age.,young,age,.49791673
SD2022.txt,South Dakota,Noem_Kristi,50,1,I hope you will support the bill.,you,support,.43860424
SD2022.txt,South Dakota,Noem_Kristi,50,1,Chemical abortions happen when a woman ends an unborn life with a pill.,end,life,.63989693
SD2022.txt,South Dakota,Noem_Kristi,50,1,"Last year, we were ranked the Number 1 state for helping our workforce and small businesses get through the pandemic.",small,business,.58363891
SD2022.txt,South Dakota,Noem_Kristi,50,1,We guaranteed the right of our people to keep and bear arms.,guarantee,right,.57560599
SD2022.txt,South Dakota,Noem_Kristi,50,1,"In addition to the estimates I gave you back in December, our economy is even stronger than expected.",give,you,.46997485
SD2022.txt,South Dakota,Noem_Kristi,50,1,And they’re partnering with others to promote job training and match students with the best career for them.,promote,student,.48241565
SD2022.txt,South Dakota,Noem_Kristi,50,1,"Eventually, South Dakota gained dozens of new residents from a family that loved freedom and was tired of tyranny.",that,love,.51255077
SD2022.txt,South Dakota,Noem_Kristi,50,1,South Dakota saw new families and new businesses move here from other states.,other,state,.53918028
SD2022.txt,South Dakota,Noem_Kristi,50,1,"They can win high school championships, maybe earn scholarships, maybe even go on to play professional sports.",play,sport,.37771732
SD2022.txt,South Dakota,Noem_Kristi,50,1,"In fact, no Harley Davidson dealership ANYWHERE has ever seen the revenue that Black Hills Harley achieved in 2021.",anywhere,see,.43154985
SD2022.txt,South Dakota,Noem_Kristi,50,1,Students took advantage of opportunities to work with local and statewide volunteer organizations.,local,organization,.40276983
SD2022.txt,South Dakota,Noem_Kristi,50,1,You have proven that abortion does not need to be a divisive issue.,divisive,issue,.69064927
SD2022.txt,South Dakota,Noem_Kristi,50,1,"I am amazed by their efforts, and I am so grateful for how they have sacrificed to serve others.",serve,other,.55862087
SD2022.txt,South Dakota,Noem_Kristi,50,1,We rolled out the welcome mat for tourists.,roll,mat,.54939634
SD2022.txt,South Dakota,Noem_Kristi,50,1,Science tells us that an unborn child’s heartbeat starts 6 weeks after conception.,science,tell,.56534523
SD2022.txt,South Dakota,Noem_Kristi,50,1,Jessica shared her dreams of getting a business degree and becoming a business owner someday.,jessica,share,.43559501
SD2022.txt,South Dakota,Noem_Kristi,50,1,Yet HUNDREDS of high school aged boys have run faster times than that.,aged,boy,.44331554
SD2022.txt,South Dakota,Noem_Kristi,50,1,This will help relieve the pressure on law enforcement and emergency rooms.,relieve,pressure,.65974432
SD2022.txt,South Dakota,Noem_Kristi,50,1,"But if you work hard and put your mind to it, you can accomplish anything.",you,accomplish,.46069589
SD2022.txt,South Dakota,Noem_Kristi,50,1,"That’s fantastic news, and we should return a portion of these strong revenues to the people of South Dakota.",strong,revenue,.8204059
SD2022.txt,South Dakota,Noem_Kristi,50,1,But we also trusted people to make decisions that were best for them and their families.,make,decision,.62323725
SD2022.txt,South Dakota,Noem_Kristi,50,1,And she was ready to make a change.,make,change,.6120308
SD2022.txt,South Dakota,Noem_Kristi,50,1,I am bringing legislation to ban all abortions once a heartbeat can be detected.,ban,abortion,.30783096
SD2022.txt,South Dakota,Noem_Kristi,50,1,People want to live somewhere that respects them – that respects their freedoms.,that,respect,.52573574
SD2022.txt,South Dakota,Noem_Kristi,50,1,We guaranteed the right of our people to keep and bear arms.,bear,arm,.39449394
SD2022.txt,South Dakota,Noem_Kristi,50,1,"Habitat helps our economy, too.",help,economy,.74452317
